# DwarfCorp profiler export
# generated_utc,2026-04-20T00:45:26.0518437Z
# frame_capture_enabled,1
# frames_in_history,600

# Metrics
name,value
GUI Mesh Size,1000
VISIBLE CHUNKS,103
Physics Objects,33
Transforms,234
COMPONENTS,2225
ENTITIES UPDATED,234
ChunkMeshGenBatchSize,1
ChunkMeshGenWorkers,15
AI Objects,22
ChunkMeshUploadsThisFrame,0
ChunkMeshUploadsPending,0
INSTANCES DRAWN,1073

# Functions (last captured frame, sorted by ticks desc)
name,calls,micros
Root,1,2978793
Render,1,2977337
GUI Mesh Gen,1,18361
Update,1,1452
Component Update,1,204
AISystem,1,170
PhysicsSystem,1,69
EnumRootLFrus,1,46
ChunkRenderer.Update,1,26
Transform Update,1,7
ChunkMeshUploadDrain,2,3

60.420,59.0,16.793
60.439,53.0,18.626
60.453,68.0,14.584
60.477,42.0,23.371
60.733,3.0,256.664
60.814,12.0,80.754
60.822,130.0,7.648
60.826,226.0,4.424
60.837,93.0,10.639
60.854,57.0,17.266
60.870,62.0,15.984
60.887,59.0,16.703
60.904,56.0,17.544
60.921,61.0,16.230
60.938,57.0,17.252
60.953,64.0,15.582
60.971,56.0,17.568
60.987,62.0,15.951
61.006,53.0,18.642
61.020,68.0,14.691
61.039,53.0,18.583
61.053,68.0,14.599
61.071,57.0,17.472
61.087,62.0,15.978
61.104,57.0,17.267
61.120,63.0,15.797
61.137,57.0,17.428
61.153,62.0,15.946
61.172,53.0,18.765
61.187,69.0,14.484
61.204,56.0,17.658
61.220,61.0,16.174
61.238,57.0,17.261
61.253,63.0,15.639
61.271,55.0,17.869
61.287,65.0,15.346
61.305,53.0,18.721
61.320,67.0,14.866
61.338,56.0,17.768
61.353,64.0,15.402
61.371,56.0,17.610
61.387,62.0,16.046
61.404,58.0,17.165
61.421,60.0,16.559
61.438,57.0,17.243
61.453,64.0,15.544
61.471,57.0,17.323
61.487,63.0,15.829
61.504,56.0,17.650
61.526,46.0,21.366
62.085,1.0,559.482
62.131,21.0,46.157
62.139,137.0,7.253
62.142,263.0,3.799
62.158,65.0,15.226
62.173,63.0,15.744
62.191,56.0,17.555
62.207,63.0,15.827
62.225,54.0,18.326
62.241,64.0,15.604
62.258,58.0,17.141
62.274,62.0,15.965
62.290,60.0,16.579
62.307,58.0,17.115
62.323,62.0,15.921
62.341,57.0,17.414
62.358,59.0,16.870
62.374,60.0,16.420
62.390,61.0,16.314
62.408,57.0,17.362
62.423,64.0,15.594
62.441,56.0,17.637
62.457,63.0,15.699
62.474,56.0,17.725
62.491,61.0,16.256
62.508,58.0,17.119
62.523,64.0,15.561
62.541,56.0,17.745
62.557,63.0,15.738
62.574,57.0,17.414
62.590,63.0,15.717
62.609,53.0,18.617
62.623,67.0,14.773
62.641,57.0,17.381
62.657,62.0,16.017
62.674,56.0,17.620
62.690,63.0,15.776
62.708,57.0,17.407
62.723,63.0,15.867
62.741,55.0,18.088
62.757,66.0,15.077
62.777,48.0,20.454
62.790,76.0,13.147
62.808,57.0,17.474
62.824,62.0,15.973
