# DwarfCorp profiler export
# generated_utc,2026-04-19T22:45:44.6036097Z
# frame_capture_enabled,1
# frames_in_history,600

# Metrics
name,value
GUI Mesh Size,3064
VISIBLE CHUNKS,119
Physics Objects,19
Transforms,90
COMPONENTS,748
ENTITIES UPDATED,90
AI Objects,16
INSTANCES DRAWN,235

# Functions (last captured frame, sorted by ticks desc)
name,calls,micros
Root,1,4199
Render,1,3228
Update,1,969
GUI Mesh Gen,1,763
AISystem,1,121
Component Update,1,117
PhysicsSystem,1,35
EnumRootLFrus,1,34
Transform Update,1,4
ChunkRenderer.Update,1,1

# Frame history (rolling ring buffer, oldest first)
73.643,30.0,33.164
73.648,182.0,5.471
73.652,317.0,3.152
73.665,75.0,13.208
73.682,58.0,17.141
73.698,64.0,15.621
73.715,57.0,17.386
73.732,58.0,17.094
73.748,62.0,16.053
73.764,62.0,15.992
73.782,56.0,17.772
73.797,64.0,15.472
73.815,56.0,17.637
73.831,63.0,15.735
73.848,56.0,17.701
73.865,61.0,16.149
73.881,59.0,16.753
73.897,61.0,16.178
73.915,56.0,17.854
73.931,64.0,15.502
73.949,56.0,17.722
73.964,64.0,15.521
73.981,58.0,17.225
73.998,59.0,16.853
74.014,63.0,15.780
74.032,54.0,18.243
74.047,65.0,15.157
74.065,56.0,17.779
74.081,64.0,15.508
74.098,55.0,17.904
74.114,63.0,15.822
74.132,56.0,17.760
74.147,66.0,15.148
74.165,54.0,18.251
74.181,63.0,15.687
74.198,60.0,16.421
74.215,57.0,17.423
74.232,60.0,16.527
74.791,1.0,559.208
74.850,16.0,59.025
74.856,150.0,6.630
74.862,187.0,5.340
74.878,62.0,15.895
74.896,55.0,17.918
74.911,64.0,15.466
74.929,55.0,17.941
74.945,63.0,15.767
74.963,55.0,18.149
74.978,65.0,15.253
74.995,58.0,16.961
75.011,60.0,16.413
75.028,59.0,16.942
75.045,60.0,16.420
75.062,58.0,16.980
75.079,57.0,17.402
75.095,65.0,15.366
75.112,57.0,17.500
75.128,63.0,15.645
75.145,56.0,17.609
75.161,63.0,15.715
75.178,57.0,17.392
75.194,62.0,15.901
75.213,55.0,18.141
75.228,64.0,15.597
75.246,56.0,17.807
75.261,64.0,15.512
75.279,57.0,17.434
75.294,64.0,15.602
75.312,57.0,17.435
75.329,58.0,17.011
75.345,62.0,16.082
75.361,62.0,15.961
75.379,55.0,18.050
75.394,65.0,15.282
75.411,58.0,16.976
75.429,56.0,17.590
75.444,65.0,15.373
75.463,54.0,18.499
75.478,67.0,14.839
75.495,56.0,17.781
75.511,64.0,15.559
75.529,54.0,18.273
76.590,0.0,1060.832
76.624,29.0,33.958
76.630,166.0,6.014
76.644,72.0,13.794
76.662,56.0,17.764
76.677,64.0,15.528
76.695,56.0,17.572
76.711,62.0,16.075
76.728,58.0,17.213
76.745,57.0,17.289
76.761,65.0,15.357
76.778,56.0,17.602
76.794,64.0,15.459
76.812,55.0,17.955
76.827,63.0,15.850
76.845,56.0,17.640
76.860,65.0,15.175
76.879,54.0,18.281
76.894,66.0,15.076
76.911,56.0,17.846
76.927,63.0,15.654
76.945,55.0,17.933
76.960,65.0,15.276
76.979,54.0,18.298
76.994,63.0,15.797
77.011,58.0,16.953
77.027,64.0,15.580
77.045,55.0,17.874
77.060,64.0,15.617
77.078,56.0,17.854
77.094,64.0,15.455
77.112,55.0,17.962
77.128,62.0,15.955
77.145,58.0,17.004
77.160,64.0,15.437
77.178,54.0,18.386
77.194,65.0,15.320
77.211,59.0,16.938
77.229,55.0,17.877
77.244,63.0,15.723
77.262,57.0,17.401
77.277,63.0,15.656
77.295,57.0,17.540
77.310,65.0,15.342
77.328,56.0,17.734
77.344,63.0,15.661
77.362,55.0,17.940
77.378,62.0,15.897
77.402,40.0,24.878
78.282,1.0,879.839
78.315,30.0,32.721
78.320,194.0,5.135
78.324,248.0,4.019
78.336,81.0,12.205
78.354,56.0,17.563
78.370,61.0,16.230
78.387,60.0,16.462
78.404,57.0,17.422
78.420,60.0,16.431
78.437,61.0,16.227
78.454,59.0,16.930
78.470,61.0,16.388
78.486,61.0,16.137
78.504,57.0,17.479
78.519,63.0,15.817
78.537,57.0,17.259
78.553,59.0,16.715
78.569,62.0,16.099
78.587,56.0,17.740
78.603,65.0,15.340
78.620,56.0,17.848
78.636,63.0,15.832
78.654,56.0,17.771
78.670,63.0,15.818
78.687,56.0,17.640
78.703,65.0,15.316
78.720,56.0,17.611
78.736,64.0,15.536
78.754,55.0,17.991
